Regional_District,Year,Total_Disposed_Tonnes,Population,Disposal_Rate_kg
Alberni-Clayoquot,1990,16641,30257,550
Alberni-Clayoquot,1991,0,NA,NA
Alberni-Clayoquot,1992,0,NA,NA
Alberni-Clayoquot,1993,0,NA,NA
Alberni-Clayoquot,1994,0,NA,NA
Alberni-Clayoquot,1995,0,NA,NA
Alberni-Clayoquot,1996,14100,30000,470
Alberni-Clayoquot,1997,15248,28824,529
Alberni-Clayoquot,1998,13861,26914,515
Alberni-Clayoquot,1999,20332,34000,598
Alberni-Clayoquot,2000,17374,34000,511
Alberni-Clayoquot,2001,16965,31186,544
Alberni-Clayoquot,2002,17274,31753,544
Alberni-Clayoquot,2003,23748,31877,745
Alberni-Clayoquot,2004,27821,32312,861
Alberni-Clayoquot,2005,27429,32692,839
Alberni-Clayoquot,2006,25292,32260,784
Alberni-Clayoquot,2007,27645,31138,888
Alberni-Clayoquot,2008,0,NA,NA
Alberni-Clayoquot,2009,0,NA,NA
Alberni-Clayoquot,2010,23220,31635,734
Alberni-Clayoquot,2011,0,NA,NA
Alberni-Clayoquot,2012,23611,31090,759
Alberni-Clayoquot,2013,22725,30863,736
Alberni-Clayoquot,2014,21825,30876,707
Alberni-Clayoquot,2015,22808,30106,758
Alberni-Clayoquot,2016,24070,30721,784
Alberni-Clayoquot,2017,25863,30456,849
Alberni-Clayoquot,2018,23171,36555,634
Alberni-Clayoquot,2019,22250,37731,590
Alberni-Clayoquot,2020,21573,33885,637
Alberni-Clayoquot,2021,22951,38132,602
Alberni-Clayoquot,2022,22524,38529,585
Alberni-Clayoquot,2023,21195,39171,541
Alberni-Clayoquot,2024,20826,36222,575
Bulkley-Nechako,1990,25995,37136,700
Bulkley-Nechako,1991,0,NA,NA
Bulkley-Nechako,1992,0,NA,NA
Bulkley-Nechako,1993,0,NA,NA
Bulkley-Nechako,1994,0,NA,NA
Bulkley-Nechako,1995,0,NA,NA
Bulkley-Nechako,1996,29272,43047,680
Bulkley-Nechako,1997,27484,41642,660
Bulkley-Nechako,1998,24796,42899,578
Bulkley-Nechako,1999,28348,43545,651
Bulkley-Nechako,2000,26964,44204,610
Bulkley-Nechako,2001,18014,42890,420
Bulkley-Nechako,2002,17362,43513,399
Bulkley-Nechako,2003,21705,42643,509
Bulkley-Nechako,2004,21426,43815,489
Bulkley-Nechako,2005,20649,43933,470
Bulkley-Nechako,2006,22014,40393,545
Bulkley-Nechako,2007,19293,38471,501
Bulkley-Nechako,2008,0,NA,NA
Bulkley-Nechako,2009,0,NA,NA
Bulkley-Nechako,2010,21276,39183,543
Bulkley-Nechako,2011,0,NA,NA
Bulkley-Nechako,2012,23783,39679,599
Bulkley-Nechako,2013,23754,40066,593
Bulkley-Nechako,2014,23209,40387,575
Bulkley-Nechako,2015,25845.81,40059,645
Bulkley-Nechako,2016,24239,40383,600
Bulkley-Nechako,2017,22490,39803,565
Bulkley-Nechako,2018,24079,44134,546
Bulkley-Nechako,2019,24249,43689,555
Bulkley-Nechako,2020,25834,43788,590
Bulkley-Nechako,2021,26286,39814,660
Bulkley-Nechako,2022,26235,40201,653
Bulkley-Nechako,2023,30927,39370,786
Bulkley-Nechako,2024,21558,39417,547
Capital,1990,180966,291880,620
Capital,1991,0,NA,NA
Capital,1992,0,NA,NA
Capital,1993,0,NA,NA
Capital,1994,0,NA,NA
Capital,1995,0,NA,NA
Capital,1996,135827,328880,413
Capital,1997,162922,329135,495
Capital,1998,130600,334871,390
Capital,1999,134159,339643,395
Capital,2000,136656,334940,408
Capital,2001,134235,341564,393
Capital,2002,140724,341563,412
Capital,2003,144121,344787,418
Capital,2004,150789,347439,434
Capital,2005,158662,351022,452
Capital,2006,70835,160260,442
