Manure,Untreated and Unprocessed Wood Residuals,Domestic Septic Tank Sludge,Plant Matter Derived From Processing Plants,Operation Type,Latitude,Yard Waste,Fish Wastes,Whey,Animal Bedding,Biosolids,Hatchery Waste,Last Amendment Date,Intended Dates of Land Application,Authorization Status,Authorization Number,Waste Discharge Regulation,Milk Processing Waste,Material Land Applied,Poultry Carcasses,Authorization Type,Effective/Issue Date,Longitude,Facility Location,Type of Compost Produced,Facility Design Capacity (t/y),Brewery Waste/Wine Waste,Regulated Party,Food Waste,Red Meat Waste,geometry
No,No,No,No,Compost Production Facility,50.481193,No,No,No,No,No,No,NA,Unknown,Active,100158,NA,No,Class A Compost,No,Notification,2008-05-12T00:00:00.000+00:00,-119.750791,5087 Westwold Station Road,Class A Compost,5000 tonnes/year,No,WESTWOLD VIEW FARMS,No,FALSE,"c(-119.750791, 50.481193)"
Yes,Yes,No,No,Compost Production Facility,49.468915,Yes,No,No,No,Yes,No,NA,NA,Active,100201,NA,No,NA,No,Notification,2008-06-15T00:00:00.000+00:00,-120.505132,"1276 Hwy #8, Merritt BC, District Lot 134 KDYD",Class A Compost,6600 tonnes,No,THE SUNSHINE VALLEY GOOD EARTH COMPANY LTD.,No,FALSE,"c(-120.505132, 49.468915)"
No,No,No,No,Compost Production Facility,50.8828,No,No,No,No,No,No,NA,NA,Active,100225,NA,No,NA,No,Notification,2008-04-17T00:00:00.000+00:00,-120.2583,"7529 Yellowhead South  HWY #5 , Darfield BC  V0E 1R0",Class A Compost,375 t/y,No,Karl Rainer doing business as RAINER CUSTOM CUTTING,No,FALSE,"c(-120.2583, 50.8828)"
Yes,No,No,No,Compost Production Facility,50.1252,Yes,No,No,No,Yes,No,NA,NA,Active,100471,NA,No,NA,No,Notification,2008-09-01T00:00:00.000+00:00,-120.7479,"Airport Road, Merritt BC, 1.5 Km from HWY 5A/Voght Street, Yellow gate just past Valley Helicopters",Class A Compost,6600,No,THE SUNSHINE VALLEY GOOD EARTH COMPANY LTD.,No,FALSE,"c(-120.7479, 50.1252)"
No,No,No,No,Compost Production Facility,50.721,Yes,No,No,No,Yes,No,NA,NA,Active,103074,NA,No,NA,No,Notification,2009-01-08T00:00:00.000+00:00,-120.4858,"4045 Tranquille Road, Kamloops BC",Class A Compost,"<10,000 tonnes",No,CITY OF KAMLOOPS,No,FALSE,"c(-120.4858, 50.721)"
No,No,No,No,Compost Production Facility,49.52447,Yes,No,No,No,Yes,No,NA,NA,Active,103972,NA,No,NA,No,Notification,2009-09-11T00:00:00.000+00:00,-119.546142,"Campbell Mt. Lanfill, 901 Spiller Road Penticton BC",Class A Compost,5000 metric tonnes,No,"PENTICTON, CITY OF",No,FALSE,"c(-119.546142, 49.52447)"
No,Yes,No,No,Compost Production Facility,50.232757,Yes,No,No,No,No,No,2013-02-21T00:00:00.000+00:00,NA,Active,104217,NA,No,NA,No,Notification,2010-01-18T00:00:00.000+00:00,-121.577645,"961 McKay  Road, Lytton BC  V0E 3K0",Class A Compost,"125,000 tonnes annual production",No,NORTHWEST ORGANICS LIMITED PARTNERSHIP doing business as BOTANIE VALLEY SOIL FARM,Yes,FALSE,"c(-121.577645, 50.232757)"
Yes,Yes,Yes,Yes,Compost Production Facility,50.537,Yes,Yes,Yes,Yes,Yes,Yes,2016-02-02T00:00:00.000+00:00,NA,Active,104962,NA,Yes,NA,Yes,Notification,2010-06-29T00:00:00.000+00:00,-119.371,2223 Yankee Flats Road SW Salmon Arm BC V1E 3J2,Class A Compost,"12,000 wt feedstock/4,000 dt compost",Yes,SPA HILLS FARM INC.,Yes,FALSE,"c(-119.371, 50.537)"
No,Yes,No,No,Compost Production Facility,50.8768,No,No,No,No,Yes,No,NA,NA,Active,105427,NA,No,NA,No,Notification,2011-03-22T00:00:00.000+00:00,-119.9136,"1325 Industrial Way, Sun Peaks BC",Class A Compost,<3000 tonnes of incoming material each year,No,"SUN PEAKS UTILITIES CO., LTD.",No,FALSE,"c(-119.9136, 50.8768)"
No,No,Yes,No,Compost Production Facility,50.350898,Yes,No,No,Yes,No,No,NA,NA,Active,105573,NA,No,NA,No,Notification,2011-05-18T00:00:00.000+00:00,-119.26652,"4400 L & A Cross Road, Vernon, BC, V1H 1W9",Class A Compost,972 tonnes,No,Kevin Curtis doing business as CURTIS FARMS,No,FALSE,"c(-119.26652, 50.350898)"
No,No,No,No,Compost Production Facility,50.2159026,Yes,No,No,No,No,No,NA,NA,Active,105713,NA,No,NA,No,Notification,2011-08-18T00:00:00.000+00:00,-119.304232,"120 Birnie Road, Vernon BC  V1H 1G1",Class A Compost,"7,500 to 10,000 tonnes per year based on 12 months",No,REGIONAL DISTRICT OF NORTH OKANAGAN,No,FALSE,"c(-119.304232, 50.2159026)"
No,No,No,No,Compost Production Facility,50.6853095,Yes,No,No,No,No,No,NA,NA,Active,106329,NA,No,NA,No,Notification,2012-07-30T00:00:00.000+00:00,-119.2364198,"4290 - 20th St SE, Salmon Arm BC",Class A Compost,2500,No,COLUMBIA SHUSWAP REGIONAL DISTRICT,No,FALSE,"c(-119.2364198, 50.6853095)"
No,Yes,No,No,Compost Production Facility,50.120833,No,No,No,No,Yes,No,NA,NA,Active,108040,NA,No,NA,No,Notification,2015-08-07T00:00:00.000+00:00,-120.7425,"4510 Airport Road, Merritt BC",Class A Compost,maximum of 5000 tonnes,No,CITY OF MERRITT,No,FALSE,"c(-120.7425, 50.120833)"
No,No,No,No,Compost Production Facility,50.900693,No,No,No,No,No,No,NA,NA,Active,109544,NA,No,NA,No,Notification,2018-07-18T00:00:00.000+00:00,-120.141099,"7230 Knouff Lake Road, Heffley Creek BC V0E 1Z0",Class A Compost,1000,No,RANGELAND MEATS LTD.,No,FALSE,"c(-120.141099, 50.900693)"
No,Yes,No,Yes,Compost Production Facility,49.059076,Yes,No,No,No,No,No,NA,NA,Active,109610,NA,No,NA,No,Notification,2018-08-31T00:00:00.000+00:00,-119.525994,17250 - 146 Avenue Osoyoos BC V0H 1V2,Class A Compost,"4,900",No,TOWN OF OSOYOOS,No,FALSE,"c(-119.525994, 49.059076)"
Yes,Yes,No,No,Compost Production Facility,50.3497,No,No,No,No,Yes,No,NA,NA,Active,110162,NA,No,NA,No,Notification,2019-11-25T00:00:00.000+00:00,-119.2547,"4400 L&A Cross Road, Vernon, BC, V1H 1W9",Class B Compost,4000,No,Kevin Curtis doing business as KEVIN CURTIS COMPOSTING,Yes,FALSE,"c(-119.2547, 50.3497)"
No,No,No,Yes,Compost Production Facility,49.3211,Yes,No,No,No,Yes,No,NA,NA,Active,110280,NA,No,NA,No,Notification,2020-03-10T00:00:00.000+00:00,-120.5536,"20 Km South of Princeton, BC on Highway 3 (Crowsnest Highway) to South Envirogreen Gates",Class A Compost,100000,No,ARROW TRANSPORTATION SYSTEMS INC.,Yes,FALSE,"c(-120.5536, 49.3211)"
No,No,No,No,Compost Production Facility,49.201878,Yes,No,No,No,Yes,No,NA,Not provided,Active,110288,NA,No,Class A Biosolids,No,Notification,2020-03-19T00:00:00.000+00:00,-120.547,Placer Belgie FSR approx. 8.6km NE of Eastgate BC,Class A Compost,"4,400 tonnes/year",No,NET ZERO WASTE EASTGATE LTD.,Yes,FALSE,"c(-120.547, 49.201878)"
No,Yes,No,No,Compost Production Facility,49.87,Yes,No,No,No,Yes,No,NA,NA,Active,110536,NA,No,NA,No,Notification,2020-11-02T00:00:00.000+00:00,-119.9908,20km West on Highway 97C from Peachland,Class A Compost,5000,No,BRENDA RENEWABLES LTD.,Yes,FALSE,"c(-119.9908, 49.87)"
No,Yes,No,No,Compost Production Facility,51.4933,No,Yes,No,No,No,No,NA,NA,Active,111228,NA,No,NA,No,Notification,2022-04-06T00:00:00.000+00:00,-120.2466,"3810 McNab Rd, Little Fort, BC V0E 2C0",Class A Compost,50,No,Kenneth Brown doing business as TED'S TROUT,No,FALSE,"c(-120.2466, 51.4933)"
No,Yes,No,No,Compost Production Facility,50.7825,Yes,No,No,No,No,No,NA,NA,Active,111487,NA,No,NA,No,Notification,2022-11-14T00:00:00.000+00:00,-121.1943,"2990 Trans Canada Hwy., Cache Creek BC V0K 1H0",Class A Compost,53021 wet tonnes/year,No,HALTON RECYCLING LTD. doing business as EMTERRA ENVIRONMENTAL ,Yes,FALSE,"c(-121.1943, 50.7825)"
No,Yes,No,No,Compost Production Facility,49.04993,Yes,No,No,No,Yes,No,NA,NA,Active,111527,NA,No,NA,No,Notification,2022-12-16T00:00:00.000+00:00,-118.44084,"8798 Granby Road, Grand Forks BC",Class A Compost,4000,No,REGIONAL DISTRICT OF KOOTENAY BOUNDARY,Yes,FALSE,"c(-118.44084, 49.04993)"
No,Yes,Yes,No,Compost Production Facility,49.595,Yes,No,No,No,No,No,NA,NA,Active,111876,NA,No,NA,No,Notification,2023-09-11T00:00:00.000+00:00,-119.734,"17202 Bathville Road, Summerland BC  V0H 1Z8",Class A Compost,5062 tonnes/year,No,THE CORPORATION OF THE DISTRICT OF SUMMERLAND,Yes,FALSE,"c(-119.734, 49.595)"
No,No,No,No,Compost Production Facility,49.1268,Yes,No,No,No,No,No,NA,NA,Active,111929,NA,No,NA,No,Notification,2023-11-01T00:00:00.000+00:00,-119.551,"498 saddle ridge rd, BC, ",Class A Compost,4999,Yes,REGIONAL DISTRICT OF OKANAGAN-SIMILKAMEEN,Yes,FALSE,"c(-119.551, 49.1268)"
